Usage_ID,Report_Name,Viewer_Role,Workspace,View_Date,Views
86,Executive Enrolment Dashboard,Executive,Self-Service,2024-09-12,2
87,Executive Enrolment Dashboard,Student Services,Certified,2024-04-07,2
88,Executive Enrolment Dashboard,Planning Office,Certified,2024-02-15,2
89,Faculty Performance,Student Services,Certified,2024-01-20,8
90,Access & Equity,Planning Office,Certified,2024-02-28,3
91,Access & Equity,Planning Office,Self-Service,2024-08-27,3
92,Executive Enrolment Dashboard,Executive,Certified,2024-02-05,4
93,Access & Equity,Executive,Executive,2024-01-01,3
94,Access & Equity,Student Services,Certified,2024-12-11,6
95,Executive Enrolment Dashboard,Executive,Certified,2024-10-26,3
96,Access & Equity,Executive,Self-Service,2024-07-01,4
97,Institutional Benchmark,Faculty Analyst,Self-Service,2024-11-11,3
98,Student Success & Risk,Student Services,Self-Service,2024-03-25,3
99,Student Success & Risk,Student Services,Self-Service,2024-03-22,5
100,Executive Enrolment Dashboard,Student Services,Certified,2024-06-07,3
101,Faculty Performance,Executive,Self-Service,2024-09-04,3
102,Executive Enrolment Dashboard,Executive,Certified,2024-08-15,9
103,Faculty Performance,Planning Office,Certified,2024-11-12,5
104,Student Success & Risk,Dean,Executive,2024-02-18,5
105,Executive Enrolment Dashboard,Dean,Certified,2024-10-26,5
106,Institutional Benchmark,Dean,Self-Service,2024-10-13,3
107,Access & Equity,Faculty Analyst,Certified,2024-11-23,7
108,Faculty Performance,Executive,Certified,2024-12-10,2
109,Access & Equity,Planning Office,Certified,2024-10-28,6
110,Access & Equity,Planning Office,Self-Service,2024-07-30,3
111,Executive Enrolment Dashboard,Dean,Certified,2024-05-18,1
112,Access & Equity,Faculty Analyst,Certified,2024-04-13,2
113,Institutional Benchmark,Faculty Analyst,Self-Service,2024-03-05,5
114,Access & Equity,Dean,Certified,2024-05-24,3
115,Executive Enrolment Dashboard,Dean,Certified,2024-01-28,3
116,Institutional Benchmark,Executive,Self-Service,2024-03-22,5
117,Student Success & Risk,Faculty Analyst,Executive,2024-11-25,2
118,Access & Equity,Planning Office,Certified,2024-01-09,3
119,Executive Enrolment Dashboard,Dean,Executive,2024-06-10,5
120,Student Success & Risk,Executive,Certified,2024-08-10,3
121,Student Success & Risk,Planning Office,Certified,2024-05-10,4
122,Faculty Performance,Faculty Analyst,Self-Service,2024-05-08,4
123,Institutional Benchmark,Dean,Executive,2024-11-11,5
124,Access & Equity,Dean,Certified,2024-12-18,4
125,Executive Enrolment Dashboard,Executive,Certified,2024-11-01,4
126,Faculty Performance,Executive,Certified,2024-05-15,3
127,Institutional Benchmark,Faculty Analyst,Certified,2024-10-12,4
128,Faculty Performance,Dean,Self-Service,2024-04-06,5
129,Institutional Benchmark,Executive,Certified,2024-12-02,4
130,Institutional Benchmark,Dean,Certified,2024-01-09,4
131,Access & Equity,Faculty Analyst,Self-Service,2024-10-04,3
132,Institutional Benchmark,Dean,Executive,2024-11-18,5
133,Faculty Performance,Planning Office,Certified,2024-07-27,5
134,Institutional Benchmark,Dean,Self-Service,2024-01-09,6
135,Access & Equity,Student Services,Executive,2024-10-29,4
136,Access & Equity,Student Services,Certified,2024-10-22,5
137,Faculty Performance,Faculty Analyst,Self-Service,2024-10-18,3
138,Student Success & Risk,Faculty Analyst,Self-Service,2024-05-26,1
139,Student Success & Risk,Faculty Analyst,Certified,2024-12-19,3
140,Institutional Benchmark,Planning Office,Certified,2024-01-02,4
141,Executive Enrolment Dashboard,Planning Office,Self-Service,2024-12-04,3
142,Institutional Benchmark,Dean,Certified,2024-06-09,4
143,Faculty Performance,Executive,Certified,2024-03-04,9
144,Faculty Performance,Student Services,Certified,2024-09-11,5
145,Faculty Performance,Student Services,Self-Service,2024-04-28,2
146,Faculty Performance,Student Services,Certified,2024-04-20,4
147,Faculty Performance,Dean,Certified,2024-07-09,6
148,Access & Equity,Dean,Certified,2024-07-26,5
149,Student Success & Risk,Faculty Analyst,Self-Service,2024-08-01,9
150,Faculty Performance,Executive,Certified,2024-04-01,2
151,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-03-18,3
152,Executive Enrolment Dashboard,Dean,Certified,2024-01-06,4
153,Executive Enrolment Dashboard,Planning Office,Certified,2024-02-15,5
154,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-10-02,3
155,Access & Equity,Dean,Self-Service,2024-04-22,4
156,Executive Enrolment Dashboard,Dean,Self-Service,2024-01-16,4
157,Faculty Performance,Planning Office,Self-Service,2024-09-07,3
158,Institutional Benchmark,Planning Office,Certified,2024-09-09,4
159,Executive Enrolment Dashboard,Planning Office,Certified,2024-09-06,2
160,Access & Equity,Executive,Executive,2024-02-17,1
161,Access & Equity,Dean,Certified,2024-04-22,3
162,Executive Enrolment Dashboard,Planning Office,Self-Service,2024-09-16,3
163,Institutional Benchmark,Executive,Executive,2024-06-24,6
164,Executive Enrolment Dashboard,Student Services,Self-Service,2024-04-07,3
165,Access & Equity,Student Services,Certified,2024-12-30,7
166,Student Success & Risk,Student Services,Certified,2024-07-13,2
167,Faculty Performance,Dean,Certified,2024-10-11,4
168,Access & Equity,Executive,Self-Service,2024-05-28,5
169,Executive Enrolment Dashboard,Executive,Self-Service,2024-10-24,4
170,Faculty Performance,Student Services,Self-Service,2024-11-01,3
171,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-12-10,1
172,Executive Enrolment Dashboard,Student Services,Self-Service,2024-01-03,4
173,Student Success & Risk,Dean,Self-Service,2024-10-05,3
174,Faculty Performance,Student Services,Certified,2024-12-28,4
175,Faculty Performance,Student Services,Certified,2024-09-17,3
176,Student Success & Risk,Executive,Self-Service,2024-08-10,2
177,Access & Equity,Student Services,Certified,2024-10-07,4
178,Executive Enrolment Dashboard,Planning Office,Certified,2024-10-17,3
179,Institutional Benchmark,Planning Office,Certified,2024-08-22,3
180,Executive Enrolment Dashboard,Faculty Analyst,Self-Service,2024-03-05,6
181,Executive Enrolment Dashboard,Dean,Certified,2024-07-25,5
182,Access & Equity,Dean,Certified,2024-10-21,4
183,Executive Enrolment Dashboard,Executive,Self-Service,2024-08-03,5
184,Student Success & Risk,Dean,Self-Service,2024-04-20,3
185,Student Success & Risk,Faculty Analyst,Self-Service,2024-09-30,4
186,Faculty Performance,Planning Office,Certified,2024-10-07,3
187,Institutional Benchmark,Executive,Self-Service,2024-12-21,1
188,Executive Enrolment Dashboard,Planning Office,Self-Service,2024-05-16,1
189,Executive Enrolment Dashboard,Faculty Analyst,Executive,2024-06-17,5
190,Access & Equity,Executive,Certified,2024-12-16,2
191,Student Success & Risk,Student Services,Certified,2024-10-04,3
192,Institutional Benchmark,Dean,Certified,2024-08-17,2
193,Faculty Performance,Faculty Analyst,Self-Service,2024-07-12,4
194,Student Success & Risk,Executive,Certified,2024-06-21,4
195,Faculty Performance,Planning Office,Certified,2024-10-02,3
196,Access & Equity,Executive,Certified,2024-08-02,7
197,Access & Equity,Student Services,Certified,2024-05-19,6
198,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-07-20,3
199,Institutional Benchmark,Executive,Executive,2024-03-04,6
200,Faculty Performance,Faculty Analyst,Self-Service,2024-06-08,3
201,Student Success & Risk,Faculty Analyst,Certified,2024-03-02,6
202,Access & Equity,Planning Office,Certified,2024-05-12,8
203,Executive Enrolment Dashboard,Dean,Certified,2024-04-29,6
204,Executive Enrolment Dashboard,Student Services,Self-Service,2024-10-26,5
205,Faculty Performance,Executive,Certified,2024-06-05,4
206,Access & Equity,Dean,Executive,2024-10-15,4
207,Institutional Benchmark,Planning Office,Self-Service,2024-12-08,3
208,Access & Equity,Dean,Certified,2024-12-21,2
209,Faculty Performance,Faculty Analyst,Self-Service,2024-01-13,4
210,Faculty Performance,Faculty Analyst,Self-Service,2024-11-01,4
211,Access & Equity,Student Services,Certified,2024-08-15,4
212,Faculty Performance,Executive,Certified,2024-09-30,2
213,Access & Equity,Executive,Self-Service,2024-08-18,3
214,Student Success & Risk,Planning Office,Certified,2024-03-06,2
215,Access & Equity,Student Services,Certified,2024-08-15,2
216,Access & Equity,Executive,Certified,2024-05-24,3
217,Faculty Performance,Faculty Analyst,Certified,2024-06-09,5
218,Faculty Performance,Student Services,Certified,2024-12-20,4
219,Executive Enrolment Dashboard,Dean,Executive,2024-10-15,5
220,Executive Enrolment Dashboard,Student Services,Self-Service,2024-12-17,8
221,Student Success & Risk,Student Services,Self-Service,2024-03-24,5
222,Executive Enrolment Dashboard,Executive,Self-Service,2024-01-22,4
223,Access & Equity,Planning Office,Self-Service,2024-05-04,3
224,Faculty Performance,Planning Office,Executive,2024-06-29,6
225,Executive Enrolment Dashboard,Executive,Certified,2024-02-13,4
226,Executive Enrolment Dashboard,Executive,Self-Service,2024-11-26,2
227,Student Success & Risk,Executive,Certified,2024-10-10,3
228,Student Success & Risk,Planning Office,Executive,2024-09-21,3
229,Access & Equity,Executive,Executive,2024-12-28,2
230,Faculty Performance,Dean,Executive,2024-10-04,6
231,Student Success & Risk,Dean,Certified,2024-08-04,2
232,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-03-25,3
233,Faculty Performance,Dean,Certified,2024-10-07,2
234,Faculty Performance,Student Services,Certified,2024-12-02,3
235,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-03-19,3
236,Student Success & Risk,Dean,Certified,2024-01-07,1
237,Executive Enrolment Dashboard,Student Services,Self-Service,2024-11-10,5
238,Faculty Performance,Dean,Certified,2024-08-11,4
239,Institutional Benchmark,Student Services,Executive,2024-07-13,9
240,Institutional Benchmark,Executive,Certified,2024-10-15,7
241,Access & Equity,Student Services,Certified,2024-12-21,5
242,Executive Enrolment Dashboard,Executive,Self-Service,2024-12-25,3
243,Executive Enrolment Dashboard,Student Services,Self-Service,2024-11-11,6
244,Access & Equity,Student Services,Certified,2024-03-21,5
245,Access & Equity,Dean,Self-Service,2024-05-01,4
246,Access & Equity,Student Services,Self-Service,2024-02-27,5
247,Faculty Performance,Dean,Executive,2024-10-26,4
248,Executive Enrolment Dashboard,Student Services,Executive,2024-04-30,2
249,Faculty Performance,Planning Office,Certified,2024-02-17,5
250,Access & Equity,Faculty Analyst,Executive,2024-05-04,4
251,Executive Enrolment Dashboard,Dean,Self-Service,2024-06-01,5
252,Faculty Performance,Dean,Executive,2024-11-08,4
253,Faculty Performance,Executive,Executive,2024-01-13,4
254,Access & Equity,Planning Office,Self-Service,2024-11-28,2
255,Executive Enrolment Dashboard,Executive,Certified,2024-09-24,1
256,Access & Equity,Planning Office,Certified,2024-08-11,5
257,Executive Enrolment Dashboard,Planning Office,Executive,2024-08-14,4
258,Institutional Benchmark,Student Services,Self-Service,2024-12-29,2
259,Student Success & Risk,Executive,Certified,2024-07-09,4
260,Student Success & Risk,Faculty Analyst,Certified,2024-09-06,4
261,Student Success & Risk,Planning Office,Self-Service,2024-07-08,6
262,Access & Equity,Planning Office,Certified,2024-01-28,3
263,Institutional Benchmark,Dean,Certified,2024-08-10,5
264,Executive Enrolment Dashboard,Student Services,Certified,2024-07-21,2
265,Faculty Performance,Faculty Analyst,Self-Service,2024-02-11,4
266,Executive Enrolment Dashboard,Planning Office,Certified,2024-07-07,5
267,Faculty Performance,Dean,Certified,2024-03-20,4
268,Executive Enrolment Dashboard,Executive,Self-Service,2024-02-07,3
269,Institutional Benchmark,Planning Office,Self-Service,2024-12-02,2
270,Faculty Performance,Dean,Certified,2024-04-18,7
271,Access & Equity,Executive,Certified,2024-04-23,3
272,Executive Enrolment Dashboard,Student Services,Self-Service,2024-12-29,5
273,Executive Enrolment Dashboard,Executive,Self-Service,2024-05-12,4
274,Faculty Performance,Planning Office,Certified,2024-12-05,5
275,Access & Equity,Faculty Analyst,Certified,2024-06-24,3
276,Access & Equity,Executive,Executive,2024-06-11,4
277,Institutional Benchmark,Faculty Analyst,Executive,2024-10-30,3
278,Access & Equity,Faculty Analyst,Certified,2024-08-22,9
279,Access & Equity,Executive,Certified,2024-09-26,5
280,Access & Equity,Student Services,Certified,2024-02-23,4
281,Student Success & Risk,Executive,Certified,2024-06-02,4
282,Institutional Benchmark,Dean,Certified,2024-12-30,6
283,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-08-25,1
284,Faculty Performance,Planning Office,Self-Service,2024-02-11,3
285,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-08-03,5
286,Institutional Benchmark,Planning Office,Executive,2024-04-04,4
287,Faculty Performance,Dean,Self-Service,2024-05-25,3
288,Institutional Benchmark,Dean,Self-Service,2024-04-12,1
289,Access & Equity,Dean,Executive,2024-11-01,3
290,Faculty Performance,Executive,Self-Service,2024-05-04,3
291,Access & Equity,Faculty Analyst,Executive,2024-12-07,4
292,Executive Enrolment Dashboard,Planning Office,Certified,2024-05-28,5
293,Executive Enrolment Dashboard,Dean,Certified,2024-06-10,5
294,Faculty Performance,Dean,Certified,2024-08-04,4
295,Faculty Performance,Planning Office,Certified,2024-02-09,3
296,Institutional Benchmark,Faculty Analyst,Certified,2024-04-28,6
297,Institutional Benchmark,Faculty Analyst,Self-Service,2024-04-20,5
298,Access & Equity,Planning Office,Certified,2024-10-12,3
299,Faculty Performance,Student Services,Self-Service,2024-07-16,2
300,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-04-26,3
301,Institutional Benchmark,Planning Office,Self-Service,2024-01-25,4
302,Institutional Benchmark,Planning Office,Certified,2024-10-11,4
303,Executive Enrolment Dashboard,Dean,Executive,2024-03-07,4
304,Institutional Benchmark,Planning Office,Certified,2024-07-03,8
305,Access & Equity,Executive,Executive,2024-10-29,3
306,Faculty Performance,Dean,Certified,2024-08-03,2
307,Executive Enrolment Dashboard,Dean,Self-Service,2024-04-14,4
308,Faculty Performance,Faculty Analyst,Certified,2024-05-24,2
309,Institutional Benchmark,Student Services,Self-Service,2024-04-18,4
310,Institutional Benchmark,Faculty Analyst,Self-Service,2024-02-19,2
311,Executive Enrolment Dashboard,Executive,Self-Service,2024-07-30,3
312,Access & Equity,Dean,Certified,2024-03-30,3
313,Student Success & Risk,Dean,Self-Service,2024-09-25,5
314,Executive Enrolment Dashboard,Planning Office,Certified,2024-07-09,3
315,Student Success & Risk,Student Services,Certified,2024-10-21,3
316,Student Success & Risk,Student Services,Certified,2024-01-17,5
317,Access & Equity,Planning Office,Certified,2024-08-19,5
318,Student Success & Risk,Executive,Self-Service,2024-12-20,5
319,Student Success & Risk,Student Services,Certified,2024-03-20,5
320,Access & Equity,Dean,Certified,2024-02-28,5
321,Student Success & Risk,Executive,Self-Service,2024-12-17,2
322,Student Success & Risk,Faculty Analyst,Executive,2024-01-30,4
323,Student Success & Risk,Faculty Analyst,Self-Service,2024-05-10,4
324,Executive Enrolment Dashboard,Executive,Self-Service,2024-05-02,1
325,Executive Enrolment Dashboard,Dean,Self-Service,2024-02-20,4
326,Executive Enrolment Dashboard,Faculty Analyst,Self-Service,2024-03-20,5
327,Access & Equity,Dean,Executive,2024-09-07,4
328,Institutional Benchmark,Planning Office,Certified,2024-07-10,5
329,Student Success & Risk,Student Services,Certified,2024-03-14,5
330,Student Success & Risk,Executive,Executive,2024-04-20,5
331,Access & Equity,Student Services,Executive,2024-07-17,2
332,Student Success & Risk,Planning Office,Certified,2024-06-25,6
333,Executive Enrolment Dashboard,Faculty Analyst,Self-Service,2024-01-20,3
334,Institutional Benchmark,Dean,Self-Service,2024-07-23,8
335,Faculty Performance,Dean,Certified,2024-01-29,2
336,Student Success & Risk,Planning Office,Certified,2024-01-10,3
337,Executive Enrolment Dashboard,Executive,Self-Service,2024-01-09,3
338,Faculty Performance,Student Services,Certified,2024-12-29,2
339,Institutional Benchmark,Faculty Analyst,Certified,2024-03-03,4
340,Faculty Performance,Executive,Executive,2024-02-02,6
341,Executive Enrolment Dashboard,Planning Office,Self-Service,2024-05-31,2
342,Faculty Performance,Planning Office,Executive,2024-03-20,5
343,Access & Equity,Dean,Self-Service,2024-02-01,5
344,Faculty Performance,Faculty Analyst,Self-Service,2024-01-04,4
345,Student Success & Risk,Executive,Self-Service,2024-07-08,4
346,Student Success & Risk,Dean,Certified,2024-11-29,2
347,Access & Equity,Faculty Analyst,Self-Service,2024-05-05,3
348,Executive Enrolment Dashboard,Student Services,Self-Service,2024-01-22,5
349,Student Success & Risk,Student Services,Self-Service,2024-05-30,2
350,Institutional Benchmark,Dean,Certified,2024-08-05,6
351,Student Success & Risk,Executive,Certified,2024-10-08,6
352,Student Success & Risk,Faculty Analyst,Certified,2024-10-31,3
353,Executive Enrolment Dashboard,Student Services,Self-Service,2024-06-20,2
354,Faculty Performance,Student Services,Executive,2024-08-26,6
355,Student Success & Risk,Executive,Executive,2024-05-29,2
356,Access & Equity,Dean,Certified,2024-04-17,1
357,Faculty Performance,Planning Office,Certified,2024-07-13,2
358,Institutional Benchmark,Faculty Analyst,Certified,2024-02-21,8
359,Executive Enrolment Dashboard,Student Services,Certified,2024-05-21,3
360,Institutional Benchmark,Planning Office,Self-Service,2024-03-04,3
361,Faculty Performance,Executive,Executive,2024-06-21,6
362,Faculty Performance,Dean,Certified,2024-07-10,3
363,Faculty Performance,Faculty Analyst,Certified,2024-06-06,7
364,Institutional Benchmark,Executive,Certified,2024-06-02,5
365,Faculty Performance,Dean,Certified,2024-08-19,5
366,Institutional Benchmark,Executive,Self-Service,2024-06-08,4
367,Faculty Performance,Student Services,Self-Service,2024-02-20,5
368,Access & Equity,Student Services,Self-Service,2024-08-02,6
369,Faculty Performance,Planning Office,Self-Service,2024-10-16,2
370,Institutional Benchmark,Executive,Certified,2024-04-17,4
371,Student Success & Risk,Student Services,Certified,2024-07-22,3
372,Faculty Performance,Dean,Certified,2024-08-02,1
373,Student Success & Risk,Planning Office,Self-Service,2024-01-28,1
374,Access & Equity,Faculty Analyst,Self-Service,2024-10-01,3
375,Executive Enrolment Dashboard,Executive,Self-Service,2024-06-24,3
376,Access & Equity,Student Services,Certified,2024-12-19,5
377,Faculty Performance,Dean,Self-Service,2024-03-12,4
378,Student Success & Risk,Executive,Certified,2024-12-27,3
379,Student Success & Risk,Dean,Certified,2024-03-11,3
380,Institutional Benchmark,Planning Office,Certified,2024-10-09,6
381,Student Success & Risk,Student Services,Certified,2024-02-20,4
382,Institutional Benchmark,Student Services,Self-Service,2024-03-24,2
383,Executive Enrolment Dashboard,Planning Office,Self-Service,2024-02-23,4
384,Faculty Performance,Dean,Certified,2024-05-02,3
385,Institutional Benchmark,Executive,Certified,2024-08-14,4
386,Executive Enrolment Dashboard,Dean,Certified,2024-01-17,4
387,Student Success & Risk,Executive,Certified,2024-08-07,3
388,Student Success & Risk,Planning Office,Certified,2024-03-12,3
389,Executive Enrolment Dashboard,Faculty Analyst,Self-Service,2024-04-23,3
390,Student Success & Risk,Executive,Certified,2024-12-16,5
391,Executive Enrolment Dashboard,Student Services,Self-Service,2024-05-08,3
392,Institutional Benchmark,Student Services,Certified,2024-04-14,4
393,Institutional Benchmark,Student Services,Certified,2024-09-26,2
394,Executive Enrolment Dashboard,Dean,Certified,2024-03-04,4
395,Institutional Benchmark,Dean,Self-Service,2024-05-31,6
396,Institutional Benchmark,Dean,Certified,2024-08-14,3
397,Institutional Benchmark,Student Services,Certified,2024-07-18,2
398,Access & Equity,Executive,Executive,2024-03-09,4
399,Faculty Performance,Student Services,Certified,2024-02-01,4
400,Student Success & Risk,Executive,Executive,2024-01-01,6
401,Access & Equity,Dean,Certified,2024-07-12,5
402,Institutional Benchmark,Faculty Analyst,Self-Service,2024-08-21,3
403,Executive Enrolment Dashboard,Dean,Certified,2024-07-22,4
404,Institutional Benchmark,Planning Office,Certified,2024-03-14,4
405,Faculty Performance,Executive,Certified,2024-05-31,4
406,Institutional Benchmark,Faculty Analyst,Certified,2024-12-26,3
407,Executive Enrolment Dashboard,Dean,Self-Service,2024-05-26,5
408,Faculty Performance,Faculty Analyst,Executive,2024-02-20,4
409,Institutional Benchmark,Student Services,Certified,2024-12-02,5
410,Faculty Performance,Executive,Certified,2024-09-14,6
411,Student Success & Risk,Planning Office,Certified,2024-01-10,4
412,Student Success & Risk,Student Services,Self-Service,2024-04-12,4
413,Institutional Benchmark,Faculty Analyst,Certified,2024-05-13,2
414,Faculty Performance,Dean,Certified,2024-07-08,4
415,Executive Enrolment Dashboard,Executive,Self-Service,2024-03-06,5
416,Institutional Benchmark,Planning Office,Certified,2024-09-20,9
417,Student Success & Risk,Dean,Certified,2024-11-19,5
418,Student Success & Risk,Planning Office,Certified,2024-07-05,4
419,Institutional Benchmark,Executive,Self-Service,2024-11-01,6
420,Faculty Performance,Faculty Analyst,Certified,2024-12-16,6
421,Student Success & Risk,Planning Office,Executive,2024-10-18,2
422,Faculty Performance,Executive,Certified,2024-05-15,2
423,Student Success & Risk,Planning Office,Certified,2024-04-04,5
424,Student Success & Risk,Dean,Self-Service,2024-07-05,6
425,Access & Equity,Planning Office,Certified,2024-08-19,2
426,Student Success & Risk,Dean,Certified,2024-11-29,7
427,Executive Enrolment Dashboard,Dean,Certified,2024-12-10,6
428,Institutional Benchmark,Executive,Certified,2024-07-24,3
429,Institutional Benchmark,Student Services,Self-Service,2024-10-25,5
430,Faculty Performance,Planning Office,Certified,2024-08-20,3
431,Student Success & Risk,Faculty Analyst,Self-Service,2024-03-03,4
432,Executive Enrolment Dashboard,Dean,Self-Service,2024-12-02,4
433,Faculty Performance,Student Services,Self-Service,2024-09-24,2
434,Access & Equity,Dean,Self-Service,2024-12-05,6
435,Faculty Performance,Student Services,Self-Service,2024-12-19,4
436,Faculty Performance,Student Services,Certified,2024-02-25,3
437,Student Success & Risk,Faculty Analyst,Certified,2024-02-18,6
438,Access & Equity,Student Services,Certified,2024-01-27,1
439,Faculty Performance,Faculty Analyst,Self-Service,2024-03-22,2
440,Executive Enrolment Dashboard,Executive,Self-Service,2024-08-17,4
441,Executive Enrolment Dashboard,Dean,Certified,2024-02-05,4
442,Institutional Benchmark,Faculty Analyst,Executive,2024-08-07,4
443,Access & Equity,Dean,Self-Service,2024-08-21,5
444,Access & Equity,Planning Office,Certified,2024-06-05,3
445,Institutional Benchmark,Executive,Certified,2024-03-19,5
446,Faculty Performance,Planning Office,Certified,2024-10-23,7
447,Access & Equity,Planning Office,Self-Service,2024-08-23,5
448,Executive Enrolment Dashboard,Student Services,Certified,2024-01-28,3
449,Executive Enrolment Dashboard,Student Services,Certified,2024-07-10,2
450,Student Success & Risk,Planning Office,Executive,2024-05-31,2
451,Access & Equity,Student Services,Self-Service,2024-04-10,4
452,Faculty Performance,Dean,Certified,2024-10-04,5
