DQ_Run_ID,Table_Name,Rule_Name,Severity,Issue_Count,Load_Timestamp
78,dim_student_profile,Missing Values,Low,3,2024-04-27
79,dim_student_profile,Invalid Domain,High,3,2024-08-17
80,dim_student_profile,Outlier Detection,Low,2,2024-11-29
81,dim_time,Referential Integrity,High,6,2024-09-12
82,fact_student_term,Duplicate Keys,High,3,2024-01-09
83,dim_time,Duplicate Keys,Low,3,2024-04-28
84,dim_time,Referential Integrity,Low,11,2024-04-28
85,fact_student_term,Missing Values,Medium,4,2024-03-31
86,fact_student_term,Missing Values,Low,10,2024-06-20
87,fact_student_term,Invalid Domain,Low,8,2024-07-29
88,fact_student_term,Referential Integrity,Medium,3,2024-11-09
89,dim_student_profile,Missing Values,Low,7,2024-04-25
90,dim_institution,Referential Integrity,High,5,2024-10-14
91,dim_institution,Outlier Detection,Low,3,2024-01-22
92,fact_student_term,Duplicate Keys,Low,5,2024-12-14
93,dim_institution,Duplicate Keys,Low,6,2024-02-24
94,dim_institution,Duplicate Keys,High,5,2024-04-17
95,fact_student_term,Referential Integrity,Medium,5,2024-03-17
96,dim_institution,Referential Integrity,Medium,2,2024-03-01
97,dim_time,Invalid Domain,Low,6,2024-05-01
98,fact_enrolment_hea,Duplicate Keys,Low,5,2024-04-01
99,fact_enrolment_hea,Invalid Domain,Low,4,2024-11-18
100,fact_student_term,Duplicate Keys,Low,7,2024-08-09
101,dim_student_profile,Invalid Domain,Medium,5,2024-05-09
102,fact_student_term,Invalid Domain,Medium,6,2024-09-04
103,dim_student_profile,Outlier Detection,Low,6,2024-04-30
104,fact_enrolment_hea,Invalid Domain,High,6,2024-07-19
105,fact_student_term,Referential Integrity,Low,3,2024-06-09
106,dim_time,Invalid Domain,High,5,2024-09-06
107,dim_institution,Duplicate Keys,Low,4,2024-08-05
108,dim_student_profile,Invalid Domain,Low,8,2024-03-03
109,dim_institution,Missing Values,Low,3,2024-08-04
110,dim_institution,Duplicate Keys,Low,2,2024-12-06
111,fact_student_term,Missing Values,Medium,1,2024-03-04
112,dim_institution,Duplicate Keys,Low,7,2024-07-30
113,dim_time,Referential Integrity,Low,3,2024-04-29
114,dim_institution,Referential Integrity,Medium,2,2024-03-09
115,fact_student_term,Referential Integrity,Medium,4,2024-05-03
116,dim_time,Missing Values,Medium,6,2024-05-24
117,fact_enrolment_hea,Outlier Detection,Low,2,2024-10-22
118,dim_institution,Duplicate Keys,Medium,7,2024-12-23
119,fact_student_term,Referential Integrity,Medium,4,2024-05-08
120,fact_enrolment_hea,Duplicate Keys,Low,10,2024-01-13
121,fact_enrolment_hea,Missing Values,Low,8,2024-09-30
122,dim_student_profile,Outlier Detection,Low,6,2024-03-08
123,dim_time,Missing Values,Low,7,2024-09-26
124,dim_institution,Duplicate Keys,Low,3,2024-05-12
125,fact_student_term,Outlier Detection,Low,4,2024-03-02
126,dim_student_profile,Outlier Detection,Medium,8,2024-06-09
127,dim_time,Missing Values,Medium,5,2024-01-26
128,dim_student_profile,Referential Integrity,High,4,2024-09-03
129,dim_time,Duplicate Keys,Medium,4,2024-07-07
130,dim_time,Invalid Domain,Low,5,2024-10-12
131,dim_institution,Invalid Domain,High,5,2024-11-13
132,dim_time,Missing Values,High,4,2024-12-02
133,dim_student_profile,Duplicate Keys,Low,3,2024-08-07
134,dim_time,Duplicate Keys,Medium,6,2024-11-21
135,dim_institution,Missing Values,High,8,2024-09-05
136,dim_institution,Duplicate Keys,Low,5,2024-03-31
137,dim_student_profile,Referential Integrity,High,5,2024-02-05
138,fact_enrolment_hea,Missing Values,Low,3,2024-01-07
139,fact_enrolment_hea,Referential Integrity,Low,5,2024-11-16
140,dim_time,Duplicate Keys,Low,5,2024-07-20
141,fact_student_term,Missing Values,Medium,10,2024-11-28
142,dim_time,Duplicate Keys,Medium,4,2024-02-10
143,dim_student_profile,Missing Values,High,4,2024-02-01
144,dim_student_profile,Duplicate Keys,Low,9,2024-05-21
145,dim_student_profile,Referential Integrity,Low,5,2024-09-12
146,dim_student_profile,Referential Integrity,Medium,4,2024-06-09
147,dim_student_profile,Duplicate Keys,Medium,2,2024-01-30
148,dim_institution,Missing Values,Low,4,2024-09-18
149,fact_enrolment_hea,Invalid Domain,Low,4,2024-01-10
150,dim_student_profile,Referential Integrity,Medium,5,2024-07-21
151,fact_student_term,Referential Integrity,Medium,2,2024-12-24
152,fact_student_term,Invalid Domain,Low,8,2024-10-02
153,fact_student_term,Duplicate Keys,Low,3,2024-12-10
154,fact_student_term,Missing Values,High,5,2024-05-03
155,dim_institution,Duplicate Keys,Medium,4,2024-04-27
156,fact_student_term,Outlier Detection,Low,5,2024-09-24
157,dim_student_profile,Referential Integrity,Low,7,2024-10-04
158,dim_time,Outlier Detection,Medium,6,2024-03-16
159,fact_student_term,Referential Integrity,Low,7,2024-01-14
160,dim_institution,Referential Integrity,Low,3,2024-04-15
161,dim_institution,Outlier Detection,Low,8,2024-06-24
162,fact_student_term,Outlier Detection,Low,3,2024-06-30
163,dim_time,Duplicate Keys,Medium,6,2024-02-05
164,fact_student_term,Outlier Detection,Low,6,2024-02-24
165,dim_institution,Duplicate Keys,Medium,6,2024-09-26
166,fact_enrolment_hea,Duplicate Keys,Low,3,2024-01-02
167,dim_student_profile,Duplicate Keys,Low,1,2024-09-12
168,dim_institution,Referential Integrity,Low,6,2024-01-02
169,fact_student_term,Referential Integrity,High,5,2024-03-01
170,dim_student_profile,Outlier Detection,High,2,2024-12-28
171,fact_student_term,Referential Integrity,Low,4,2024-04-16
172,fact_student_term,Outlier Detection,Medium,10,2024-05-13
173,fact_enrolment_hea,Referential Integrity,Medium,3,2024-01-23
174,dim_student_profile,Missing Values,High,11,2024-03-13
175,dim_student_profile,Missing Values,Low,2,2024-12-16
176,fact_enrolment_hea,Outlier Detection,Medium,3,2024-01-28
177,dim_institution,Referential Integrity,Low,3,2024-01-25
178,fact_student_term,Referential Integrity,Low,2,2024-12-20
179,dim_time,Duplicate Keys,High,3,2024-03-05
180,fact_student_term,Invalid Domain,Low,6,2024-07-12
181,fact_student_term,Outlier Detection,Low,6,2024-07-25
182,dim_institution,Invalid Domain,Low,7,2024-10-25
183,fact_student_term,Invalid Domain,Medium,3,2024-02-09
184,fact_enrolment_hea,Outlier Detection,Medium,5,2024-01-23
185,fact_enrolment_hea,Referential Integrity,Low,2,2024-06-25
186,dim_student_profile,Outlier Detection,High,5,2024-09-20
187,dim_time,Invalid Domain,Low,4,2024-05-07
188,fact_student_term,Referential Integrity,Low,1,2024-09-19
189,fact_student_term,Missing Values,High,3,2024-10-03
190,dim_institution,Outlier Detection,Low,3,2024-02-04
191,fact_enrolment_hea,Outlier Detection,Low,8,2024-04-10
192,dim_time,Referential Integrity,Low,10,2024-08-12
193,dim_student_profile,Missing Values,Medium,4,2024-08-16
194,fact_enrolment_hea,Missing Values,Low,5,2024-04-08
195,dim_student_profile,Referential Integrity,High,6,2024-03-22
196,dim_institution,Duplicate Keys,Medium,3,2024-11-12
197,dim_institution,Outlier Detection,Low,11,2024-11-25
198,fact_student_term,Outlier Detection,Medium,5,2024-07-14
199,dim_time,Invalid Domain,Low,5,2024-12-30
200,dim_student_profile,Referential Integrity,Low,3,2024-03-08
201,fact_enrolment_hea,Invalid Domain,Medium,7,2024-09-29
202,dim_institution,Invalid Domain,High,2,2024-10-25
203,fact_student_term,Missing Values,Low,5,2024-12-24
204,fact_student_term,Outlier Detection,Low,4,2024-12-09
205,dim_student_profile,Invalid Domain,Low,6,2024-12-24
206,dim_institution,Missing Values,Low,4,2024-05-20
207,dim_time,Referential Integrity,Low,5,2024-07-03
208,dim_institution,Invalid Domain,Low,3,2024-06-02
209,dim_student_profile,Outlier Detection,Medium,5,2024-07-07
210,dim_student_profile,Invalid Domain,Low,6,2024-03-02
211,dim_institution,Referential Integrity,Low,3,2024-01-19
212,dim_student_profile,Invalid Domain,Medium,7,2024-03-21
213,dim_institution,Outlier Detection,Medium,4,2024-01-30
214,fact_enrolment_hea,Missing Values,Low,2,2024-05-06
215,dim_institution,Outlier Detection,Low,12,2024-08-05
216,dim_institution,Missing Values,Medium,4,2024-01-13
217,dim_student_profile,Duplicate Keys,Low,2,2024-06-25
218,dim_student_profile,Outlier Detection,Low,7,2024-12-03
219,fact_student_term,Outlier Detection,Medium,1,2024-04-30
220,fact_student_term,Referential Integrity,Low,0,2024-06-27
221,fact_enrolment_hea,Invalid Domain,Low,3,2024-04-20
222,fact_student_term,Missing Values,Low,10,2024-01-09
223,dim_institution,Missing Values,Low,2,2024-08-09
224,dim_student_profile,Referential Integrity,Low,9,2024-10-11
225,fact_student_term,Referential Integrity,High,3,2024-12-14
226,fact_student_term,Invalid Domain,Low,6,2024-04-19
227,fact_enrolment_hea,Invalid Domain,Low,5,2024-05-15
228,fact_enrolment_hea,Outlier Detection,Low,3,2024-04-17
229,dim_institution,Duplicate Keys,High,8,2024-12-02
230,dim_student_profile,Invalid Domain,Low,4,2024-07-22
231,fact_enrolment_hea,Referential Integrity,Low,5,2024-01-15
232,fact_student_term,Invalid Domain,High,4,2024-06-10
233,dim_student_profile,Missing Values,Low,4,2024-07-13
234,dim_student_profile,Duplicate Keys,Low,3,2024-09-17
235,fact_student_term,Outlier Detection,Low,5,2024-12-19
236,fact_enrolment_hea,Missing Values,Low,3,2024-01-09
237,fact_student_term,Missing Values,Low,7,2024-08-03
238,dim_student_profile,Duplicate Keys,Medium,2,2024-09-17
239,dim_time,Outlier Detection,Low,7,2024-04-22
240,dim_time,Referential Integrity,Medium,4,2024-04-26
241,dim_institution,Outlier Detection,Low,3,2024-12-05
242,fact_student_term,Invalid Domain,Low,3,2024-02-16
243,fact_student_term,Missing Values,Low,8,2024-11-13
244,dim_institution,Invalid Domain,High,10,2024-10-27
245,dim_institution,Referential Integrity,Low,5,2024-11-17
246,dim_institution,Invalid Domain,Medium,8,2024-10-05
247,dim_student_profile,Outlier Detection,Low,1,2024-04-07
248,fact_student_term,Invalid Domain,Low,6,2024-04-02
249,dim_student_profile,Referential Integrity,Low,2,2024-10-25
250,dim_institution,Referential Integrity,Low,4,2024-09-08
251,fact_student_term,Referential Integrity,Low,4,2024-06-11
252,dim_student_profile,Outlier Detection,Low,8,2024-06-06
253,dim_student_profile,Referential Integrity,Medium,7,2024-03-07
254,dim_institution,Missing Values,Low,4,2024-05-17
255,fact_student_term,Referential Integrity,Medium,7,2024-11-07
256,dim_institution,Invalid Domain,Low,5,2024-10-16
257,fact_student_term,Invalid Domain,Low,7,2024-03-05
258,dim_time,Invalid Domain,Medium,3,2024-09-18
259,fact_enrolment_hea,Outlier Detection,Low,4,2024-07-16
260,fact_enrolment_hea,Invalid Domain,Low,8,2024-06-19
261,fact_enrolment_hea,Outlier Detection,Medium,7,2024-01-16
262,dim_institution,Outlier Detection,High,2,2024-07-09
263,dim_time,Referential Integrity,Low,2,2024-01-25
264,fact_student_term,Missing Values,Low,6,2024-09-06
265,dim_student_profile,Referential Integrity,High,8,2024-01-27
266,fact_student_term,Referential Integrity,Low,4,2024-06-18
267,dim_student_profile,Outlier Detection,Medium,6,2024-04-26
268,fact_student_term,Outlier Detection,Low,8,2024-02-24
269,dim_time,Invalid Domain,Low,6,2024-12-28
270,dim_student_profile,Invalid Domain,Medium,4,2024-01-26
271,dim_institution,Referential Integrity,Low,6,2024-09-28
272,fact_student_term,Duplicate Keys,Low,6,2024-12-30
273,fact_student_term,Duplicate Keys,Low,4,2024-04-17
274,dim_student_profile,Invalid Domain,Medium,4,2024-03-30
275,dim_institution,Duplicate Keys,Medium,5,2024-12-22
276,dim_institution,Invalid Domain,Low,9,2024-05-01
277,dim_time,Outlier Detection,Low,5,2024-12-10
278,dim_institution,Referential Integrity,Medium,6,2024-08-30
279,dim_institution,Missing Values,Medium,9,2024-09-25
280,dim_institution,Referential Integrity,Medium,3,2024-09-08
281,fact_enrolment_hea,Invalid Domain,Low,10,2024-03-15
282,dim_time,Invalid Domain,Medium,7,2024-04-21
283,fact_student_term,Referential Integrity,Medium,6,2024-05-30
284,dim_student_profile,Invalid Domain,Low,5,2024-09-26
285,fact_student_term,Duplicate Keys,Low,5,2024-04-07
286,dim_time,Duplicate Keys,Low,9,2024-12-25
287,dim_student_profile,Invalid Domain,Medium,7,2024-09-11
288,dim_time,Invalid Domain,Low,7,2024-06-16
289,dim_institution,Duplicate Keys,Medium,5,2024-09-06
290,dim_student_profile,Invalid Domain,High,2,2024-11-15
291,dim_institution,Invalid Domain,Medium,5,2024-09-02
292,fact_student_term,Referential Integrity,High,4,2024-07-31
293,fact_student_term,Missing Values,High,7,2024-10-02
294,dim_student_profile,Duplicate Keys,Low,3,2024-11-29
295,dim_student_profile,Referential Integrity,Medium,3,2024-10-06
296,dim_time,Missing Values,Low,6,2024-02-15
297,dim_time,Invalid Domain,High,3,2024-01-18
298,dim_institution,Invalid Domain,Low,5,2024-09-02
299,dim_student_profile,Referential Integrity,High,3,2024-12-15
300,fact_student_term,Invalid Domain,Medium,8,2024-08-07
301,dim_time,Outlier Detection,Medium,3,2024-06-24
302,dim_time,Referential Integrity,Low,7,2024-08-21
303,fact_student_term,Missing Values,Low,5,2024-05-28
304,dim_time,Referential Integrity,Medium,6,2024-04-07
305,dim_institution,Duplicate Keys,Low,4,2024-01-05
306,dim_student_profile,Referential Integrity,Medium,6,2024-06-07
307,fact_student_term,Invalid Domain,Low,7,2024-03-27
308,dim_student_profile,Invalid Domain,Medium,10,2024-08-18
309,dim_time,Outlier Detection,Low,7,2024-04-29
310,dim_time,Outlier Detection,Medium,6,2024-06-20
311,fact_student_term,Outlier Detection,Medium,4,2024-03-04
312,dim_institution,Missing Values,Low,6,2024-04-03
313,fact_enrolment_hea,Outlier Detection,Low,2,2024-06-18
314,fact_student_term,Missing Values,Low,2,2024-08-22
315,fact_enrolment_hea,Outlier Detection,Medium,3,2024-04-30
316,fact_enrolment_hea,Missing Values,Low,9,2024-04-09
317,dim_institution,Referential Integrity,Medium,4,2024-05-14
318,fact_enrolment_hea,Referential Integrity,Low,7,2024-11-10
319,fact_enrolment_hea,Invalid Domain,Low,8,2024-03-09
320,dim_institution,Missing Values,Low,6,2024-07-16
321,fact_enrolment_hea,Duplicate Keys,Low,3,2024-10-31
322,fact_enrolment_hea,Invalid Domain,Low,6,2024-07-24
323,fact_enrolment_hea,Referential Integrity,High,3,2024-01-11
324,fact_student_term,Missing Values,High,7,2024-12-22
325,fact_student_term,Outlier Detection,Low,6,2024-05-09
326,fact_student_term,Duplicate Keys,Medium,2,2024-08-10
327,dim_institution,Referential Integrity,Medium,1,2024-04-19
328,dim_time,Invalid Domain,Low,2,2024-01-27
329,fact_enrolment_hea,Missing Values,Low,5,2024-11-15
330,fact_enrolment_hea,Duplicate Keys,Low,4,2024-07-12
331,dim_institution,Missing Values,Low,5,2024-12-11
332,fact_enrolment_hea,Outlier Detection,High,8,2024-01-16
333,fact_student_term,Invalid Domain,Medium,4,2024-03-13
334,dim_time,Missing Values,Low,6,2024-04-25
335,dim_student_profile,Referential Integrity,Low,3,2024-07-19
336,fact_enrolment_hea,Invalid Domain,Medium,4,2024-05-12
337,fact_student_term,Referential Integrity,Medium,8,2024-06-12
338,dim_student_profile,Missing Values,Medium,5,2024-01-07
339,dim_time,Invalid Domain,Medium,7,2024-03-01
340,dim_student_profile,Referential Integrity,Low,2,2024-12-17
341,fact_student_term,Outlier Detection,Medium,5,2024-04-29
342,dim_student_profile,Outlier Detection,Medium,10,2024-01-31
343,dim_institution,Missing Values,Low,4,2024-02-17
344,dim_student_profile,Invalid Domain,Medium,5,2024-03-31
345,fact_enrolment_hea,Duplicate Keys,Low,3,2024-01-06
346,fact_enrolment_hea,Invalid Domain,Low,3,2024-10-11
347,dim_institution,Outlier Detection,Low,8,2024-03-24
348,fact_student_term,Referential Integrity,Low,3,2024-05-18
349,fact_enrolment_hea,Duplicate Keys,Low,7,2024-10-01
350,dim_time,Missing Values,Low,8,2024-11-25
351,fact_enrolment_hea,Duplicate Keys,Low,4,2024-05-12
352,fact_enrolment_hea,Missing Values,Low,5,2024-04-12
353,fact_student_term,Duplicate Keys,Low,6,2024-11-21
354,dim_student_profile,Missing Values,Low,1,2024-04-04
355,fact_enrolment_hea,Missing Values,Medium,2,2024-01-18
356,dim_institution,Duplicate Keys,Low,3,2024-01-21
357,dim_student_profile,Duplicate Keys,Low,4,2024-01-06
358,dim_time,Missing Values,High,4,2024-01-24
359,fact_student_term,Outlier Detection,Medium,4,2024-08-12
360,dim_time,Duplicate Keys,High,3,2024-02-29
361,dim_student_profile,Invalid Domain,Low,5,2024-10-10
362,dim_student_profile,Referential Integrity,Low,5,2024-08-07
363,dim_student_profile,Missing Values,Medium,2,2024-11-25
364,dim_time,Missing Values,Low,6,2024-10-05
365,dim_student_profile,Referential Integrity,Low,3,2024-11-30
366,dim_time,Outlier Detection,Low,4,2024-02-15
367,dim_student_profile,Referential Integrity,Medium,3,2024-10-19
368,dim_institution,Duplicate Keys,Low,6,2024-05-21
369,dim_student_profile,Referential Integrity,High,4,2024-10-30
370,dim_time,Missing Values,High,1,2024-03-18
371,fact_enrolment_hea,Referential Integrity,Low,9,2024-07-17
372,dim_student_profile,Invalid Domain,Medium,7,2024-04-24
373,fact_enrolment_hea,Duplicate Keys,Medium,5,2024-02-05
374,dim_institution,Referential Integrity,Medium,4,2024-02-29
375,fact_student_term,Missing Values,Low,2,2024-09-01
376,dim_institution,Duplicate Keys,Medium,4,2024-03-19
377,dim_student_profile,Missing Values,Low,5,2024-07-09
378,fact_enrolment_hea,Outlier Detection,High,4,2024-04-06
379,fact_enrolment_hea,Invalid Domain,Low,6,2024-10-30
380,dim_time,Outlier Detection,Low,3,2024-05-29
381,fact_enrolment_hea,Invalid Domain,Medium,7,2024-02-12
382,dim_time,Referential Integrity,Medium,5,2024-10-23
383,fact_student_term,Duplicate Keys,Medium,6,2024-11-14
384,dim_student_profile,Referential Integrity,Low,7,2024-08-05
385,dim_time,Invalid Domain,Low,2,2024-07-25
386,fact_student_term,Invalid Domain,High,6,2024-05-25
387,fact_enrolment_hea,Invalid Domain,Medium,4,2024-11-23
388,fact_enrolment_hea,Missing Values,Medium,6,2024-09-15
389,fact_student_term,Duplicate Keys,Low,3,2024-02-23
390,fact_enrolment_hea,Referential Integrity,Low,6,2024-04-28
391,fact_student_term,Referential Integrity,Medium,8,2024-08-30
392,dim_time,Outlier Detection,Medium,3,2024-05-21
393,dim_time,Invalid Domain,Low,7,2024-10-16
394,fact_student_term,Invalid Domain,High,15,2024-05-06
395,dim_time,Invalid Domain,Low,7,2024-08-12
396,dim_time,Referential Integrity,Low,6,2024-08-16
397,dim_time,Outlier Detection,Low,3,2024-08-28
398,dim_institution,Missing Values,Low,2,2024-09-13
399,dim_student_profile,Duplicate Keys,Low,5,2024-09-01
400,fact_enrolment_hea,Missing Values,Low,6,2024-06-24
401,dim_institution,Referential Integrity,Low,6,2024-12-20
402,dim_time,Invalid Domain,Medium,4,2024-01-10
403,fact_student_term,Duplicate Keys,Low,1,2024-03-23
404,dim_time,Referential Integrity,Low,6,2024-05-18
405,dim_student_profile,Referential Integrity,Low,8,2024-04-28
406,dim_time,Referential Integrity,Low,2,2024-05-06
407,fact_student_term,Duplicate Keys,Medium,2,2024-04-08
408,dim_student_profile,Duplicate Keys,Low,2,2024-03-06
409,dim_time,Outlier Detection,Medium,5,2024-09-15
410,dim_student_profile,Outlier Detection,Medium,7,2024-05-22
411,fact_enrolment_hea,Missing Values,Low,7,2024-02-28
412,fact_enrolment_hea,Duplicate Keys,Low,9,2024-08-31
413,dim_time,Duplicate Keys,Low,4,2024-12-26
414,dim_student_profile,Duplicate Keys,Low,7,2024-07-10
415,fact_student_term,Outlier Detection,Medium,5,2024-12-13
416,dim_time,Referential Integrity,Medium,7,2024-05-09
417,fact_enrolment_hea,Invalid Domain,Low,7,2024-06-06
418,fact_enrolment_hea,Outlier Detection,Low,3,2024-06-14
419,dim_time,Duplicate Keys,Low,5,2024-09-17
420,dim_student_profile,Outlier Detection,Medium,5,2024-05-12
421,fact_enrolment_hea,Missing Values,Low,5,2024-01-12
422,dim_student_profile,Duplicate Keys,Low,5,2024-05-11
423,fact_enrolment_hea,Missing Values,Low,8,2024-06-01
424,fact_enrolment_hea,Duplicate Keys,Medium,2,2024-10-08
425,dim_institution,Outlier Detection,High,6,2024-02-24
426,fact_enrolment_hea,Referential Integrity,Low,6,2024-09-12
427,fact_student_term,Invalid Domain,Low,6,2024-05-05
428,dim_time,Missing Values,High,1,2024-02-15
429,dim_time,Outlier Detection,Low,10,2024-06-22
430,dim_student_profile,Referential Integrity,Medium,5,2024-10-25
431,fact_enrolment_hea,Outlier Detection,Low,3,2024-01-21
432,fact_student_term,Missing Values,Medium,0,2024-09-11
433,dim_student_profile,Invalid Domain,Low,7,2024-06-13
434,dim_institution,Outlier Detection,High,4,2024-09-24
435,dim_student_profile,Duplicate Keys,Medium,6,2024-04-10
436,dim_student_profile,Referential Integrity,Medium,4,2024-05-28
437,fact_enrolment_hea,Outlier Detection,Medium,2,2024-05-20
438,dim_institution,Referential Integrity,Medium,4,2024-02-02
439,dim_student_profile,Duplicate Keys,Low,9,2024-08-23
440,fact_student_term,Invalid Domain,High,4,2024-07-16
441,fact_student_term,Invalid Domain,High,5,2024-08-22
442,dim_time,Duplicate Keys,Low,8,2024-11-27
443,dim_institution,Referential Integrity,High,2,2024-04-29
444,dim_institution,Outlier Detection,Medium,2,2024-06-06
445,dim_time,Duplicate Keys,Low,5,2024-02-06
446,dim_student_profile,Missing Values,Low,4,2024-12-03
447,dim_institution,Referential Integrity,Low,8,2024-05-23
448,fact_student_term,Invalid Domain,Low,6,2024-02-14
449,fact_student_term,Duplicate Keys,Low,9,2024-07-17
450,fact_enrolment_hea,Invalid Domain,Low,7,2024-08-25
451,dim_institution,Referential Integrity,Low,2,2024-05-08
452,dim_student_profile,Invalid Domain,Low,8,2024-06-29
453,dim_time,Duplicate Keys,High,3,2024-01-28
454,dim_time,Referential Integrity,Low,5,2024-10-26
455,dim_student_profile,Missing Values,Low,4,2024-03-07
456,fact_enrolment_hea,Duplicate Keys,Low,5,2024-08-29
457,dim_time,Outlier Detection,Low,4,2024-12-28
458,dim_institution,Duplicate Keys,Medium,8,2024-08-31
459,fact_enrolment_hea,Referential Integrity,Medium,0,2024-06-15
460,dim_institution,Duplicate Keys,Medium,7,2024-09-22
461,fact_student_term,Missing Values,Low,4,2024-02-20
462,fact_enrolment_hea,Missing Values,Medium,5,2024-04-18
463,dim_time,Outlier Detection,Low,2,2024-11-30
464,fact_enrolment_hea,Invalid Domain,Low,3,2024-05-13
465,fact_enrolment_hea,Referential Integrity,Low,3,2024-06-15
466,fact_enrolment_hea,Referential Integrity,Low,1,2024-03-20
467,fact_enrolment_hea,Invalid Domain,Low,3,2024-12-03
468,dim_institution,Missing Values,Low,4,2024-04-08
469,fact_student_term,Missing Values,High,4,2024-06-01
470,dim_student_profile,Duplicate Keys,Low,7,2024-10-15
471,fact_enrolment_hea,Outlier Detection,Low,9,2024-03-23
